title,prediction
Still Time,Mature
Surf World Series,Everyone
The Metronomicon: Slay the Dance Floor,Everyone 10+
Windjammers,Everyone
Rock of Ages 2: Bigger and Boulder,Everyone 10+
South Park: The Fractured but Whole ,Mature
Dishonored: Death of the Outsider,Mature
Battle of the Bulge,Everyone 10+
F1 2017,Everyone
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 2,Everyone 10+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 3 Full Burst,Teen
NARUTO™: Ultimate Ninja® STORM,Everyone 10+
NeverEnd,Everyone 10+
One Piece: Unlimited World Red Deluxe Edition,Everyone 10+
Outcast - Second Contact,Teen
Path of Exile,Mature
South Park: The Stick of Truth,Mature
Realms of Arkania - Blade of Destiny,Teen
ACA NEOGEO PUZZLED,Everyone
Axiom Verge,Everyone 10+
Blacksea Odyssey ,Teen
ChromaGun,Everyone 10+
Mages of Mystralia,Everyone 10+
Bleed,Teen
Duck Game,Everyone 10+
Knack 2,Everyone 10+
Madden NFL 18 G.O.A.T. Edition,Everyone 10+
Marvel's Guardians of the Galaxy: The Telltale Series – More than a Feeling,Teen
Middle-Earth: Shadow of War,Mature
Raiden V: Director's Cut,Teen
Soul Dimension,Mature
Super Comboman: Smash Edition,Everyone 10+
SwapQuest,Everyone 10+
The Book of Regrets,Teen
The Escapists 2,Everyone 10+
Uncharted: The Lost Legacy,Teen
RAID: WORLD WAR II,Mature
Minecraft: Story Mode - Season Two - Season Pass,Everyone 10+
Gran Turismo Sport,Everyone
BLUE REFLECTION™,Everyone 10+
ACA NEOGEO MAGICIAN LORD,Teen
Limbo,Everyone
Madden NFL 18,Everyone 10+
>Observer_,Mature
3D MiniGolf,Everyone
Dark Mystery,Everyone
Defenders of Ekron,Teen
Eliosi's Hunt,Everyone 10+
Matterfall,Everyone 10+
Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences,Everyone 10+
Nidhogg 2,Teen
Night Trap - 25th Anniversary Edition,Teen
Paranormal Activity: The Lost Soul,Mature
Undertale,Everyone 10+
Dragon's Dogma: Dark Arisen,Mature
The Girl and the Robot,Everyone 10+
GUNDAM VERSUS,Everyone 10+
ACA NEOGEO THE KING OF FIGHTERS '96,Teen
Battlefield 1 Revolution,Teen
.hack//G.U. Last Recode,Teen
Pro Evolution Soccer 2018 ,Everyone
Batman: The Enemy Within - Season Pass,Teen
Comet Crash 2: The Kronkoid Wars,Everyone 10+
Graceful Explosion Machine,Everyone
Hellblade: Senua's Sacrifice,Mature
ICEY,Everyone 10+
Masquerada: Songs and Shadows,Teen
Neon Drive,Everyone
Neptune Flux,Everyone
Project CARS 2,Everyone
Transport Giant,Everyone
Cat Quest,Everyone 10+
Battle Chasers: Nightwar,Everyone 10+
ACA NEOGEO AERO FIGHTERS 2,Everyone 10+
Dino Frontier,Teen
Drawfighters,Everyone 10+
Dreadnought,Teen
Frisky Business ,Teen
It's Spring Again,Everyone
Patapon Remastered,Everyone
Shantae: Half-Genie Hero,Teen
The Long Dark,Teen
Destiny 2,Teen
Sundered,Everyone 10+
Leaving Lyndow,Everyone
Ken Follett's The Pillars of the Earth,Teen
LawBreakers,Teen
Theseus,Mature
Vostok Inc.,Everyone 10+
A HEALER ONLY LIVES TWICE,Everyone 10+
Apollo 11 VR,Everyone
Circuit Breakers,Everyone 10+
Digital Domain's Monkey King,Teen
Fortnite,Teen
Heroes of the Seven Seas,Teen
Infinite Minigolf,Everyone
Pressure Overdrive,Everyone 10+
Pyre,Everyone 10+
Smashbox Arena,Everyone 10+
Super Cloudbuilt,Teen
Tiny Trax,Everyone
Unbox - Newbie's Adventure,Everyone
Marvel vs. Capcom: Infinite,Teen
INSIDE,Teen
Pillars of Eternity,Teen
Conga Master,Everyone
Chaos;Child,Mature
THE IDOLM@STER CINDERELLA GIRLS VIEWING REVOLUTION,Teen
Orcs Must Die! Unchained,Mature
RobotRiot: Hyper Edition,Teen
Archangel,Teen
99Vidas - The Game,Everyone 10+
Fallen Legion: Sins of an Empire,Everyone 10+
Children of Zodiarcs,Teen
Deadcore,Everyone
ACA NEOGEO FATAL FURY SPECIAL,Teen
Black the Fall,Teen
Derelict Fleet,Everyone 10+
Echoes of the Fey: The Fox's Trail,Teen
Fantastic Contraption,Everyone
IRON CRYPTICLE,Teen
Leap of Fate,Mature
Minecraft: Story Mode - Season Two - Hero in Residence,Everyone 10+
MotoGP™17,Everyone
Serial Cleaner,Teen
The Bellows,Mature
Transport Giant,Everyone
Warlocks vs Shadows,Everyone 10+
YamaYama,Everyone 10+
theHunter: Call of the Wild,Teen
ACA NEOGEO PULSTAR,Everyone 10+
Accel World vs. Sword Art Online,Teen
Dead Alliance,Mature
CYBERDIMENSION NEPTUNIA: 4 GODDESSES ONLINE,Everyone 10+
Cities: Skylines,Everyone
WARRIORS ALL-STARS™,Teen
